AMKA,First_Name,Last_Name,Father_Name,Age,Gender,Weight,Height,Address,Phone,Email,Job,Citizenship,Insurance
32602560891,Νίκος,Γεωργίου,Γιώργος,74,Male,71,90,48 Clarendon Terrace,6955444492,whiddsley47@gmpg.org,Librarian,Bolivia,ΕΦΚΑ
40009025265,Μιχάλης,Σταματόπουλος,Κώστας,5,Male,87,68,9 Sundown Plaza,6955885406,lletford48@myspace.com,Engineer I,Poland,Ανασφάλιστος
60892712796,Μαρία,Διαμαντής,Χρήστος,49,Female,144,51,73161 Knutson Pass,6925075370,btruckell49@economist.com,Biostatistician I,Indonesia,Ανασφάλιστος
19822423053,Κατερίνα,Ιωάννου,Παναγιώτης,47,Female,45,200,5 Chive Terrace,6926658506,lguilayn4a@vinaora.com,Internal Auditor,Peru,Ανασφάλιστος
55469341762,Δήμητρα,Ιωάννου,Βασίλης,60,Female,3,137,958 Iowa Alley,6927637420,hokeeffe4b@exblog.jp,Systems Administrator II,Bangladesh,Ανασφάλιστος
73342830116,Σοφία,Διαμαντής,Κώστας,100,Female,144,67,8417 Sauthoff Court,6928994541,kmassingham4c@phpbb.com,Data Coordinator,Indonesia,Ανασφάλιστος
38935118118,Θανάσης,Διαμαντής,Βασίλης,35,Male,114,95,8663 Vidon Way,6952328783,misgar4d@goo.ne.jp,Operator,Portugal,Ανασφάλιστος
69237465396,Βασιλική,Μακρής,Μιχάλης,21,Female,68,152,6 Surrey Point,6921718349,trooksby4e@netlog.com,Operator,China,ΕΦΚΑ
47007408557,Θανάσης,Μακρής,Γιάννης,85,Male,91,78,6 Old Shore Junction,6971471276,mfranke4f@freewebs.com,Help Desk Operator,Italy,Ανασφάλιστος
97540413322,Κατερίνα,Αγγελόπουλου,Γιώργος,98,Female,141,179,84 Elgar Center,6941046654,ahelstrom4g@blogger.com,Physical Therapy Assistant,Sweden,Ανασφάλιστος
77560259223,Χρήστος,Νικολάου,Παναγιώτης,5,Male,9,113,458 Birchwood Court,6973585963,rmateescu4h@wikipedia.org,Database Administrator IV,Japan,ΕΦΚΑ
94455644293,Βασίλης,Παπαδόπουλος,Νίκος,85,Male,37,182,684 Gateway Trail,6975085160,lblakeslee4i@mit.edu,Paralegal,Indonesia,Ιδιωτική Ασφάλεια
82152244235,Σοφία,Παππάς,Γιώργος,45,Female,41,67,0 Melody Court,6918205305,achadburn4j@blogtalkradio.com,Web Designer IV,Seychelles,Ανασφάλιστος
34375838574,Βασιλική,Παπαδάκη,Κώστας,33,Female,123,113,96957 Maple Point,6934003013,amccrachen4k@tumblr.com,Senior Developer,Guatemala,Ανασφάλιστος
82069926186,Άννα,Παπαδόπουλου,Νίκος,55,Female,121,159,37 Sachtjen Park,6943035968,clooney4l@shutterfly.com,Programmer III,Indonesia,Ανασφάλιστος
64914681191,Σοφία,Μακρής,Δημήτρης,5,Female,29,204,37 Eagan Point,6960602615,hde4m@jugem.jp,Editor,Argentina,Ιδιωτική Ασφάλεια
10675006956,Αγγελική,Καραγιάννη,Δημήτρης,39,Female,106,157,81 Vahlen Parkway,6964386315,rruddlesden4n@scribd.com,Quality Engineer,Indonesia,ΕΦΚΑ
45302599227,Άννα,Διαμαντής,Γιάννης,32,Female,73,126,7656 Manitowish Hill,6990108238,twiddison4o@webs.com,Quality Engineer,Brazil,ΕΦΚΑ
86564797930,Χρήστος,Διαμαντής,Βασίλης,87,Male,67,201,6 Saint Paul Road,6944953033,mgoodacre4p@squarespace.com,Environmental Specialist,Sweden,Ιδιωτική Ασφάλεια
29869861533,Κατερίνα,Δημητρίου,Χρήστος,79,Female,103,120,1136 Hauk Alley,6930452875,lmcrae4q@scribd.com,Senior Sales Associate,Peru,Ανασφάλιστος
28604483021,Γιώργος,Μακρής,Κώστας,46,Male,149,92,9343 Boyd Avenue,6966757254,lhopkyns4r@cnn.com,GIS Technical Architect,Yemen,Ιδιωτική Ασφάλεια
23585968077,Άννα,Δημητρίου,Κώστας,95,Female,15,115,34 Longview Crossing,6965550172,cleeke4s@squidoo.com,Clinical Specialist,Mexico,Ιδιωτική Ασφάλεια
64696919163,Παναγιώτης,Παπαδάκης,Παναγιώτης,24,Male,134,130,16043 5th Trail,6975802064,ekondrachenko4t@redcross.org,Food Chemist,China,Ανασφάλιστος
46762883228,Άννα,Αγγελόπουλου,Θανάσης,14,Female,115,180,8 Larry Pass,6922094486,rabsolon4u@bravesites.com,Senior Developer,Uganda,Ιδιωτική Ασφάλεια
61249169584,Ελένη,Διαμαντής,Δημήτρης,76,Female,88,161,04678 Fieldstone Terrace,6990951601,nfills4v@jimdo.com,Assistant Media Planner,Portugal,ΕΦΚΑ
70772805029,Μαρία,Λάσκαρη,Θανάσης,39,Female,5,125,45 Longview Hill,6920672041,eharriagn4w@usatoday.com,Design Engineer,Indonesia,ΕΦΚΑ
39430819071,Χρήστος,Νικολάου,Κώστας,90,Male,18,163,1441 Hansons Hill,6980666028,hmcmenamie4x@stumbleupon.com,Speech Pathologist,France,Ιδιωτική Ασφάλεια
82882041506,Παναγιώτης,Βασιλείου,Θανάσης,80,Male,88,142,91 La Follette Lane,6916700476,sbigmore4y@etsy.com,VP Product Management,China,Ιδιωτική Ασφάλεια
81960982018,Ιωάννα,Παππάς,Νίκος,56,Female,5,116,28 Sauthoff Center,6931827799,lbrokenshaw4z@t-online.de,Human Resources Manager,Venezuela,Ιδιωτική Ασφάλεια
46056241622,Βασιλική,Ιωάννου,Κώστας,3,Female,114,143,952 Bluestem Center,6957448338,ggary50@wikipedia.org,Payment Adjustment Coordinator,China,ΕΦΚΑ
76273240493,Μιχάλης,Διαμαντής,Θανάσης,43,Male,121,154,60499 Butternut Trail,6911365912,cbernardy51@reddit.com,Research Associate,Iran,Ιδιωτική Ασφάλεια
42410127541,Νίκος,Κωστόπουλος,Μιχάλης,82,Male,26,58,236 Golf View Plaza,6927246315,ssemple52@go.com,Data Coordinator,China,Ιδιωτική Ασφάλεια
13444119814,Χρήστος,Δημητρίου,Βασίλης,89,Male,100,103,0 Karstens Junction,6987707375,tmacgarvey53@chron.com,Senior Editor,France,ΕΦΚΑ
70873138282,Νίκος,Παπαδόπουλος,Δημήτρης,77,Male,86,118,06 Knutson Place,6951537323,hwrightham54@jigsy.com,Civil Engineer,China,Ιδιωτική Ασφάλεια
33044110184,Γεωργία,Παππάς,Θανάσης,32,Female,47,148,5036 Fairview Hill,6944991955,tbover55@ihg.com,Nurse,China,ΕΦΚΑ
98081585082,Μιχάλης,Παππάς,Κώστας,43,Male,97,90,64 La Follette Alley,6982073224,rmarcq56@springer.com,Developer IV,Sweden,Ιδιωτική Ασφάλεια
67243789496,Δήμητρα,Βασιλείου,Μιχάλης,80,Female,104,74,6836 Tennessee Junction,6932883730,rkempster57@ox.ac.uk,Compensation Analyst,Indonesia,Ανασφάλιστος
58145615428,Βασίλης,Διαμαντής,Δημήτρης,24,Male,79,193,34 Paget Crossing,6951497223,fkeppin58@japanpost.jp,Safety Technician II,Indonesia,Ανασφάλιστος
67407829976,Παναγιώτης,Ιωάννου,Παναγιώτης,61,Male,54,90,7278 Kenwood Park,6914005543,vbartosik59@usa.gov,Office Assistant IV,Indonesia,Ιδιωτική Ασφάλεια
91542731389,Χρήστος,Κωστόπουλος,Δημήτρης,34,Male,115,52,9 Oakridge Lane,6947948442,bdeniske5a@dyndns.org,Chemical Engineer,Uganda,Ανασφάλιστος
60513785856,Ελένη,Μακρής,Μιχάλης,32,Female,91,194,551 Cottonwood Avenue,6936884897,srodge5b@yahoo.co.jp,Design Engineer,Malaysia,Ιδιωτική Ασφάλεια
36584847761,Γιώργος,Μακρής,Παναγιώτης,22,Male,64,105,416 Spenser Crossing,6931196585,dgossop5c@networkadvertising.org,Marketing Assistant,South Sudan,Ανασφάλιστος
81706746451,Γιώργος,Γεωργίου,Βασίλης,58,Male,131,205,1617 Morning Avenue,6914195794,nmar5d@baidu.com,Programmer Analyst II,Palestinian Territory,Ανασφάλιστος
37997771362,Χρήστος,Παππάς,Γιάννης,26,Male,137,130,62632 Tennessee Crossing,6994925430,dbruckman5e@deliciousdays.com,Quality Control Specialist,Philippines,Ανασφάλιστος
26646644484,Αγγελική,Παππάς,Θανάσης,21,Female,52,179,58428 Portage Drive,6991322117,fwillcot5f@ustream.tv,Research Assistant I,Canada,Ανασφάλιστος
94763453856,Κώστας,Δημητρίου,Θανάσης,8,Male,4,112,1634 Warbler Avenue,6976714295,apedri5g@liveinternet.ru,VP Sales,Norway,ΕΦΚΑ
46104273577,Κώστας,Αγγελόπουλος,Βασίλης,4,Male,95,151,9 John Wall Terrace,6958728099,rshah5h@archive.org,Business Systems Development Analyst,Liechtenstein,Ιδιωτική Ασφάλεια
45834447187,Κατερίνα,Παπαδάκη,Νίκος,54,Female,143,188,76 Steensland Court,6970476446,tbahlmann5i@omniture.com,Paralegal,Estonia,ΕΦΚΑ
40107859093,Νίκος,Ιωάννου,Παναγιώτης,42,Male,88,96,4363 High Crossing Park,6996432724,nmartyn5j@t.co,Account Executive,Brazil,Ανασφάλιστος
